"Status","Name","Duration in ms","Description"
"broken","test_scripts.test_valid_login#test_TC001_valid_login_test[Firefox]","",""
"passed","test_scripts.test_verify_prodcut#test_TC001_valid_login_test","11414",""
"broken","test_scripts.test_verify_prodcut#test_TC001_valid_login_test[Chrome]","",""
"broken","test_scripts.test_invalid_login#test_TC001_valid_login_test[Chrome]","",""
"passed","test_scripts.test_sample#test_script_one","1044",""
"broken","test_scripts.test_valid_login#test_TC001_valid_login_test[Chrome]","",""
"broken","test_scripts.test_invalid_login#test_TC001_valid_login_test[Firefox]","",""
"passed","test_scripts.test_valid_login#test_TC001_valid_login_test","11632",""
"passed","test_scripts.test_invalid_login#test_TC001_valid_login_test","4024",""
"broken","test_scripts.test_verify_prodcut#test_TC001_valid_login_test[Firefox]","",""
